species_de,species_la,priority_tier,typical_size_cm,habitat_de,german_name_origin,fun_fact_de,season_hint,song_description,migration_pattern,special_relevance,photo_notes,reference_link
Rotkehlchen,Erithacus rubecula,1,14,"Gärten, Hecken, Wälder","Rot + Kehle (roter Hals)","Symbol der Weihnacht in Großbritannien, aber in DACH ein ganzjähriger Gartenbewohner. Der rote Brustfleck erscheint erst im ersten Lebensjahr.","Ganzjährig sichtbar, besonders aktiv in Frühjahr und Herbst","Melodisches, warnendes Ticken und zwitschernde Rufe (tick-tick-tick)","Teilzieher: Skandinavische Vögel ziehen südwärts, Mitteleuropa resident","Kulturell hochgradig relevant: deutsches Wappentier für Weiterbildung und Naturschutz","Frontal fotografieren für den roten Brustfleck, bevorzugt Morgenlicht, Augen deutlich scharf stellen",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Amsel,Turdus merula,1,25,"Wälder, Gärten, Parks, Hecken","Althochdeutsch 'amala' = schwarz (auch Schwarzdrossel genannt)","Das Männchen ist pechschwarz mit gelbem Schnabel und gelben Augenring. Die Weibchen sind braun und oft übersehen. Beiden singenden Männchen teilen sich ein Revier und singen von exponierten Plätzen.","Ganzjährig präsent, Frühjahr intensives Singen (März-Juli)","Flötendes, warmes, abwechslungsreiches Lied (oft 'tu-tu-tu' mit Modulationen), erinnert an Drossel","Standvogel mit lokalen Wanderungen. Nordeuropäische Vögel überwintern in Mitteleuropa.","Häufigster singender Vogel in Gärten, national emblematisch","Männchen leicht zu fotografieren wegen kontrastreich schwarzer Färbung, in dichtem Unterholz nach Laut suchen",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Blaumeise,Cyanistes caeruleus,1,12,"Laubwälder, Gärten, Parks mit Bäumen","Blau (Gefieder) + Meise (Vogelfamilie)","Die Blaumeise ist eine der intelligentesten Vogelarten und kann lernen, Milchflaschen zu öffnen. Im Winter bildet sie Schwärme mit Kohlmeisen und anderen Meisenarten.","Ganzjährig häufig, im Winter in Schwärmen an Futterhäuschen","Achtsilbiger Triller ('si-si-si-si-tschu-tschu-tschu-tschu'), schnell und rhythmisch","Standvogel mit Höhenwanderung. Im Herbst leichte Westverschiebung.","Häufiger Gartenvogel, ökologisch wichtig für Insektenbekämpfung, kulturell beliebt","Klein aber farbenfroh, von vorne fotografieren um blaue Kappe zu zeigen, an Meisenknödeln leicht zu erwischen",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Buntspecht,Dendrocopos major,1,23,"Wälder, Parklandschaften, größere Gärten mit alten Bäumen","Bunt (schwarz-weiß-rot) + Specht (hackend)","Der Buntspecht hämmert bis zu 20 Mal pro Sekunde auf Holz und kann dadurch pro Jahr mehrere tausend Löcher bohren. Die Schädel haben spezielle Stoßdämpfer zum Schutz des Gehirns.","Ganzjährig präsent, Frühjahr intensives Trommeln (Februar-April)","Trommeln: schnell wiederholtes Hämmern auf Holz (keine echte Stimme), auch laute 'kik-kik-kik' Rufe","Standvogel mit lokalen Wanderungen im Herbst/Winter","Kulturelle Schädling-Stigma unzutreffend; übernimmt Höhlen für andere Vögel, wichtig für Waldgesundheit","Schwarz-Weiß-Rot Kontrast fotografisch reizvoll, Unterseite sichtbar machen (Unterschwanzdecken rot), Trommern aufnehmen",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Eisvogel,Alcedo atthis,2,17,"Fließgewässer, Seen mit klarem Wasser und Steilufern","Eis (eisblau) + Vogel","Der Eisvogel ist einer der schönsten mitteleuropäischen Vögel mit leuchtend blau-grünem Rücken und orangem Bauch. Er jagt, indem er kopfüber ins Wasser taucht und kann unter Wasser sehen.","Ganzjährig, aber wandert bei strenger Kälte ab, Zugvögel mit lokalen Populationen","Schnelle, hohe Pfeiftöne ('tii-tii-tii'), scharf und metallic, oft im Flug zu hören","Teilzieher: Nördliche Populationen ziehen südwärts, südliche Populationen resident, empfindlich gegen Frost","Kulturell hochgradig bedeutsam: Symbol für Fließgewässerqualität und Naturschutzwert, rote Liste beobachtet","Farben fotografisch atemberaubend, bei faulen Fischen/Weihern suchen, schnell und scheue Art, langer Tele-Fokus nötig",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Stieglitz,Carduelis carduelis,2,12,"Offene Landschaften, Gärten, Brachen mit Wildkräutern","Stieg (Sperling/Fink) + litz (Laut, Triller, Bewegung)","Der Stieglitz (Distelfink) ist einer der farbenfreudigsten Vögel Europas mit rot, schwarz, weiß und golden gesäumten Flügeln. Sein Name leitet sich vom Disteln-Fressen ab, das er akrobatisch mit den Füßen durchführt.","Standvogel mit lokalen Wanderungen, Frühjahr Rückkehr (März), Herbst mehr Flockigkeit","Schnelle, zwitschernde Triller mit charakteristischem 'swit-wit-wit-wit', melodisch und verspielt","Teilzieher: Mitteleuropäische Population teilweise resident, nördliche Vögel ziehen südwärts, Schwarmbildung im Herbst","Kulturell: Wappenvogel mehrerer Städte (z.B. Straßburg), 15. Jahrhundert Kunstmotiv, Naturschutzindikator für Wildsamenreiche Landschaften","Goldene Flügelmarken sind charakteristisch, bei Distelköpfen oder Vogeltränken fotografieren, rote Gesichtszeichnung deutlich darstellen",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Kleiber,Sitta europaea,2,14,"Laub- und Nadelwälder, Parks, Gärten mit großen Bäumen","Kleiber = 'Kletterer' oder althochdeutsch 'klöuban' (klettern)","Der Kleiber ist einzigartig: Er ist der einzige europäische Vogel, der Bäume kopfüber hinabklettern kann. Er nutzt dafür spezielle Flügelmuskeln, um Druck gegen den Stamm auszuüben.","Ganzjährig präsent, Frühjahr intensives Singen","Laut, metallisches 'dwip-dwip-dwip' oder pfeifendes 'tu-tu-tu-tu', schnell wechselnd und variabel","Standvogel, ganzjährig im Revier, nutzt Speicherstellen mit hunderten von Sämereien","Kulturell: Wappenvogel für Kletterfähigkeit und Geschicklichkeit, ökologisch als Sekundärhöhlenbewohner wichtig","Blaugrau-Rücken und schwarzer Augenstrich fotogen, Kopfüber-Haltung zeigen, an Futterstellen reliabel zu fotografieren",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Zaunkönig,Troglodytes troglodytes,2,11,"Hecken, Buschwerk, Felsfluren, Gärten, Wälder mit dichtem Unterholz","Zaun (Hecke) + König (dominantes Revier, laut), althochdeutsch 'zûn' = Zaun","Mit nur 11 cm Körperlänge hat der Zaunkönig einen der lautesten Rufe aller mitteleuropäischen Vögel. Er kann 300 Töne pro Minute produzieren und sein Lied ist über 100m zu hören.","Ganzjährig präsent, Frühjahr intensives Singen, auch Winter aktivität beim Singen","Kraftvolles, trillerndes Lied mit schnellem Rhythmus ('trrr-trrr-trrr-titatia-titatia'), überraschend laut für kleine Größe","Standvogel mit lokalen Wanderungen, nordische Vögel überwintern in Mitteleuropa, Schwarmverhalten im Winter (mehrere in einem Nistkasten)","Kulturelle Februarfeier in Skandinavien/Irland, ökologisch wichtig in Hecken-Biotopen, Artenschutz-Indikator","Winzig und scheue, Gegenlicht für Silhouette nutzen, in dichtem Unterholz laut zu suchen, charakteristisches Schwanzaufstellen fotogen",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Mäusebussard,Buteo buteo,3,51,"Offene Landschaften, Waldränder, Agrarlandschaften, Einzelbäume auf Feldern","Mäuse (Beute) + Bussard (Raubvogel, von mittelalterlich 'buse')","Der Mäusebussard ist Deutschlands häufigster Greifvogel und zeigt extreme Gefiedervariationen: von dunkelbraun bis cremeweiß, einige Vögel sind rot gefärbt. Ein Mäusebussard verzehrt ca. 40 Mäuse pro Woche.","Ganzjährig präsent, Frühjahr intensive Balz mit Flugdisplays (März-Mai), Herbst/Winter mehr sitzend","Miauen-ähnliche Schreie ('miau' und 'kja-kja-kja'), melodisch für einen Raubvogel, oft im Flug zu hören","Standvogel mit lokalen Wanderungen. Nördliche Populationen sind echte Zugvögel (Winterquartiere in Südeuropa/Afrika).","Kulturell teils negativ stigmatisiert (Geflügelverluste), aber Schutzart. Ökologisch wichtig als apex predator in Agrarlandschaften.","Von ferne auf Telefonmasten suchend, Flugsilhouette charakteristisch, breite Flügelenden, Farbvarianten dokumentieren",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Turmfalke,Falco tinnunculus,3,33,"Offene Landschaften, Stadtlandschaften, Felsklippen, Gebäude, Strommasten","Turm (Nistplatz auf Kirchtürmen) + Falke (schnell, Jagdtechnik)","Der Turmfalke ist berühmt für sein Rütteln: Er schwebt stationär in der Luft und schaut nach Mäusen herab, indem er nur die Schwanzfedern bewegt. Ein einzelner Vogel kann 20+ Mal pro Tag rütteln.","Ganzjährig präsent mit lokalen Wanderungen, Frühjahr Balzflüge (März-April), Herbst Abzug nördlicher Populationen","Schnelle Huftöne ('kik-kik-kik') bei Erregung, während des Rüttelns weniger vokalisierend","Teilzieher: Südliche/zentrale Populationen resident, nördliche Vögel echte Zugvögel (Winterquartiere Afrika)","Kulturell: Städte-Adapter, erfolgreiche Wiederansiedlung auf Kirchtürmen, Stadtfalke-Projekte, Symbol für Urbanisierung von Wildnis","Rütternde Haltung mit Schwanzfächerung charakteristisch, von unten gegen Himmel fotografieren, schnelle Verschlusszeit nötig",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Graureiher,Ardea cinerea,3,102,"Seen, Flüsse, Feuchtgebiete, Brackwasser, auch Fischteiche und Gartenpools","Grau (Gefiederfarbe) + Reiher (Familie Ardeidae, althochdeutsch)","Der Graureiher ist einer der imposantesten Wasservögel Europas und kann sehr alt werden (über 25 Jahre dokumentiert). Er steht völlig reglos 30+ Minuten, um Fische zu fangen, wobei er den Kopf nicht bewegt.","Ganzjährig präsent in frostfreien Gewässern, Frühjahr Koloniebruten (Januar-März), Herbst verstärkte Präsenz","Heisere, laute Rufe ('krrrr-krrrr') und Kopfnicken-Laut, charakteristisches Gegacker in Kolonien, Schnabelklappern bei Bedrohung","Teilzieher: Zentral-/Südeuropäische Populationen resident, nördliche Vögel ziehen südwärts, Kälteflüchter bei strengem Frost","Kulturell: Fischerei-Konflikt-Vogel (Aquakulturen), aber auch Künstler-Inspiration, Kulturerbe-Symbol für Sumpflandschaften, Naturschutzgewinn der letzten Jahrzehnte","Große Silhouette gegen Himmel fotogen, Jagdhaltung erfassen, früh am Morgen fotografieren vor Störung, Kopfhaltung scharf stellen",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Kormoran,Phalacrocorax carbo,3,88,"Seen, Flüsse, Küstengewässer, Brackwasser, auch Fischteiche","Kormorant: althochdeutsch 'hramirant' oder von 'Rabe' + 'Korb' (Form), später Vogelname","Der Kormoran war in Mitteleuropa ausgestorben und wurde durch Bestandschutz wieder angesiedelt. Er ist der beste Unterwasserjäger unter europäischen Vögeln und kann bis 50m tauchen. Er benässt seine Flügel nicht mit Öl, daher sitzt er oft zum Trocknen mit ausgebreiteten Flügeln.","Ganzjährig im Sommer, Zugvogel im Winter. Populationen aus Mitteleuropa und Osteuropa ziehen südwärts.","Kaum stimmhafte Laute außer Kopfnicken-Grunzen in Kolonien, sonst eher Schnabelklappern und Zischlaute bei Bedrohung","Zugvogel: Europäische Populationen überwintern am Mittelmeer und in Afrika, Rückkehr März-April, Hochzucht Mai-August","Kulturell: Fischerei-Konflikt-Vogel (Aquakulturen, Fließgewässer), aber auch Naturschutzgewinn, Indikator für Gewässerqualität, Bestandserholung nach Ausrottung","Trocknungsgestus charakteristisch (Flügel ausgebreitet), schwarze Färbung kontraststark, Tauchsprünge erfassen, Kolonien großformatig fotografieren",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Mauersegler,Apus apus,4,17,"Städtische Räume, alte Gebäude, Kirchtürme, Felsklippen, während Migration überall","Mauer (Nistplatz in Gebäuden) + Segler (Flugkünstler, schnell)","Der Mauersegler ist der schnellste horizontale Flugkünstler unter Vögeln (bis 100 km/h in Dünenstößen). Er schläft, isst und paart sich in der Luft und berührt den Boden nur zur Eiablage. Ein Mauersegler verbringt 2-3 Jahre in der Luft ohne Landung.","Reiner Zugvogel: Ankunft Mai, Abzug August. Intensives Geschrei und Flugspiele Juli (Balz). Überwinterung Afrika.","Charakteristisches durchdringendes Geschrei ('srrrrrr' und 'kee-ar'), besonders abends vor Nestern, sehr laut, Laut ist Erkennungsmerkmal","Echter Langstreckenzugvogel: Überwinterung südlich der Sahara (Subsahara-Afrika), Rückkehr Mai (±1 Woche Pünktlichkeit), einzelne Vögel verbringen nicht-Brutsaison in der Luft","Kulturell: Lärm-Konflikt in Städten (Morgens um 5 Uhr), aber auch Faszination für Flugkünste, Naturschutz-Indikator für Altstadt-Qualität, Bestandsrückgang beobachtet","Schnell und in großer Höhe, Silhouetten gegen Himmel fotografieren, Schwanzspaltung charakteristisch, Video von Flugdisplays besser als Foto",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Weißstorch,Ciconia ciconia,4,102,"Feuchtgebiete, Niederungen, traditionelle Storchendörfer, Wiesen mit Gräben","Weiß (Gefiederfarbe) + Storch (althochdeutsch 'storah', wahrscheinlich Laut-Herkunft 'starc' = Krachen)","Der Weißstorch ist cultural icon in Mitteleuropa (Deutschland, Elsass, Polen), insbesondere mit Ammenmythos. Ein Storch kann 20+ Zentner Futter pro Jahr verzehren (200+ Frösche, Fische, Eidechsen täglich während Brut).","Zugvogel mit Ankunft März-April und Abzug August-September. Balzflüge und Nestbau März-April. Brut April-August.","Schnabelklappern (Rattern) anstelle von Stimmlauten, sehr laut, charakteristisch bei Begrüßung und Erregung, auch heisere Rufe seltener","Echter Langstreckenzugvogel mit 2 Populationen: Westliche (Winterquartier Westafrika via Spanien) und östliche Population (Winterquartier Ostafrika). Rückkehr zeitlich exakt (Ortstreue).","Kulturell: National-Wappenvogel (Elsass, Litauen, Polen), Ammenmythos, Wiederansiedlungs-Erfolgsgeschichte in Deutschland, 2000er Wiederbesiedlung","Schneeweiße Färbung mit schwarzen Schwingen charakteristisch, Nestplätze fotografieren, Balz und Klappern aufzeichnen, Flugsilhouetten gegen Himmel",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Sperber,Accipiter nisus,4,30,"Wälder, Waldränder, Parklandschaften, auch Gärten als Jagdraum","Sperber: althochdeutsch 'spar' oder 'sper' (Speer), Jagdwaffe, Form des schnellen Stoßes","Der Sperber ist der häufigste Greifvogel in dicht besiedelten Wäldern und ein virtuoser Jagdflieger. Weibchen sind signifikant größer als Männchen (bis 35cm vs. 24cm), was zu Verwechslungen führt. Ein Sperber fängt mehrfach täglich Kleinvögel (Meisen, Spatzen, Finken).","Ganzjährig präsent mit saisonalen Wanderungen. Balzflüge Frühjahr (März-April). Herbst Zug nordischer Populationen.","Scharfe, hohe 'kek-kek-kek' Rufe, besonders während Balz und Bedrohung, sonst unauffällig vokalisierend","Teilzieher: Südliche/zentrale Populationen resident, nördliche Vögel echte Zugvögel (Winterquartiere Südeuropa), lokal Geschlechterdimorphismus in Zugverhalten","Kulturell: Jagdkonflikt-Vogel (Taubenschläge), aber auch kulturelle Bedeutung in Falkenbaumkunst, Naturschutzindikator für Waldqualität, Bestandserholung nach Pestizid-Rückgang","Scheuer Vogel, schnell und Zickzack-Flug, Jagdflüge erfassen schwierig, Geschlechter-Größendimorphismus nutzen zur Bestimmung",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
Schwarzspecht,Dryocopus martius,4,45,"Ausgedehnte Nadelwälder, Mischwälder, alte Kiefernbestände, auch Parks mit alten Bäumen","Schwarz (schwarzes Gefieder) + Specht (hackend, Familie)","Der Schwarzspecht ist Europas größter Specht und kann bis zu 80 Mal pro Minute hämmern mit Schlagkraft bis 2000g Gewicht pro Schlag. Seine Löcher sind charakteristisch rechteckig und riesig (8-10cm Höhe), mehrere pro Baum.","Ganzjährig präsent mit lokalen Wanderungen. Frühjahr intensives Trommeln (Februar-April). Brutzeit März-Juli mit Jungen bis August.","Trommeln: sehr lautes, schnelles Hämmern (100dB+), auch Rufe 'kräp-kräp' oder heiseres 'krüüü', charakteristisch für Specht-Familie","Standvogel mit Höhenwanderung im Herbst/Winter. Skandinavische Vögel zeigen partielle Migration südwärts, ansonsten ganzjährig Revierhalter.","Kulturell: Zielart für Waldschutz und Alt-Holz-Strategien, ökologisch als Primärhöhlenbrenner essentiell (Höhlen für andere Arten), Indikator für naturnahe Wälder","Groß und auffällig schwarz, weiße Unterseite charakteristisch, rote Kopfpartie fotogen, Trommern aufnehmen, in großen Waldflächen suchen",https://www.nabu.de/tiere-und-pflanzen/voegel/vogelarten/
